60.9323	22.7675	2.39439	0.932816	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	25	1	25	0
63.376	23.4344	2.46562	0.675949	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	26	0	25	0
63.4382	23.4565	2.49759	0.679489	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	26	0	26	2
66.2552	23.9862	2.82356	0.421848	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	27	1	26	2
66.1606	23.9386	2.61298	0.328326	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	27	1	27	3
68.3597	24.3493	2.30073	0.292333	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	28	2	27	3
68.4354	24.3791	2.41349	0.342634	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	28	2	28	1
70.8206	24.8634	2.41306	0.465737	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	29	0	28	1
70.7823	24.8493	2.33176	0.431293	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	29	0	29	0
72.9485	24.774	2.17968	-0.0725077	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	30	1	29	0
72.9823	24.7881	2.22049	-0.0618326	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	30	1	30	0
75.0284	25.1944	2.06498	0.30082	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	31	2	30	0
75.0164	25.1901	2.0519	0.292983	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	31	2	31	0
77.1181	24.9913	2.07531	-0.189151	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	32	1	31	0
77.1124	24.9779	1.98873	-0.22363	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	32	1	32	0
79.0935	24.9921	1.99906	-0.0896277	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	33	0	32	0
79.0918	24.9916	1.96281	-0.0989674	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	33	0	33	0
80.8522	24.8702	1.8157	-0.151465	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	34	0	33	0
80.8747	24.8758	1.77359	-0.157299	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	34	0	34	1
82.6204	24.6441	1.76872	-0.266782	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	35	0	34	1
82.5963	24.6344	1.70432	-0.284301	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	35	0	35	0
84.1898	24.5204	1.62833	-0.176921	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	36	0	35	0
84.1959	24.5217	1.63082	-0.175392	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	36	0	36	0
85.6764	23.8761	1.45537	-0.61697	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	37	1	36	0
85.7186	23.8892	1.50016	-0.612981	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	37	1	37	0
86.9869	23.4812	1.29169	-0.543906	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	38	1	37	0
87.0797	23.5088	1.35743	-0.514273	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	38	1	38	3
88.7335	22.8094	1.6089	-0.725347	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	39	1	38	3
88.6734	22.7889	1.50636	-0.760155	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	39	1	39	0
89.6267	22.2605	1.03405	-0.632197	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	40	4	39	0
89.6562	22.2696	1.05048	-0.625914	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	40	4	40	0
90.543	21.6589	0.897835	-0.66706	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	41	0	40	0
90.6278	21.6816	1.02362	-0.655346	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	41	0	41	1
91.6943	21.0982	1.06879	-0.620841	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	42	0	41	1
91.7574	21.1141	1.10554	-0.597107	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	42	0	42	1
92.8535	20.8907	1.09209	-0.274577	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	43	1	42	1
92.916	20.9113	1.0936	-0.241897	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	43	1	43	2
93.5859	20.3102	0.744859	-0.396953	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	44	4	43	2
93.6319	20.324	0.823826	-0.409184	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	44	4	44	0
95.1306	19.6843	1.42035	-0.608837	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	45	7	44	0
